iter	Passed	Remaining
153	1176	1879
154	1185	1874
155	1190	1862
156	1198	1855
157	1204	1845
158	1210	1834
159	1220	1831
160	1225	1819
161	1235	1815
162	1240	1803
163	1250	1799
164	1258	1792
165	1267	1786
166	1274	1778
167	1286	1776
168	1291	1765
169	1302	1761
170	1308	1751
171	1318	1747
172	1324	1738
173	1334	1733
174	1339	1722
175	1348	1716
176	1354	1706
177	1362	1699
178	1368	1689
179	1373	1679
180	1383	1673
181	1388	1662
182	1396	1656
183	1401	1645
184	1406	1635
185	1414	1627
186	1419	1617
187	1427	1610
188	1434	1601
189	1440	1592
190	1448	1585
191	1454	1575
192	1462	1568
193	1467	1558
194	1472	1548
195	1480	1540
196	1485	1530
197	1492	1523
198	1498	1513
199	1503	1503
200	1514	1499
201	1519	1489
202	1527	1482
203	1533	1473
204	1539	1464
205	1545	1455
206	1550	1445
207	1558	1438
208	1563	1428
209	1568	1419
210	1576	1412
211	1582	1402
212	1589	1395
213	1595	1386
214	1600	1377
215	1609	1371
216	1614	1361
217	1622	1354
218	1629	1346
219	1634	1337
220	1642	1330
221	1648	1321
222	1655	1313
223	1660	1304
224	1665	1295
225	1672	1287
226	1677	1278
227	1683	1269
228	1692	1263
229	1698	1255
230	1706	1248
231	1713	1240
232	1722	1234
233	1728	1225
234	1734	1218
235	1740	1209
236	1745	1200
237	1753	1193
238	1758	1184
239	1763	1175
240	1770	1168
241	1777	1160
242	1787	1154
243	1792	1146
244	1797	1137
245	1804	1129
246	1810	1121
247	1817	1113
248	1823	1105
249	1830	1098
250	1839	1092
251	1845	1083
252	1853	1076
253	1858	1068
254	1863	1059
255	1870	1052
256	1875	1043
257	1883	1036
258	1889	1028
259	1895	1020
260	1905	1014
261	1910	1006
262	1918	999
263	1923	990
264	1931	983
265	1938	976
266	1943	968
267	1951	961
268	1957	953
269	1965	946
270	1971	938
271	1977	930
272	1996	928
273	2018	928
274	2047	930
275	2069	929
276	2086	926
277	2112	927
278	2131	924
279	2154	923
280	2179	923
281	2203	921
282	2227	920
283	2239	914
284	2252	908
285	2267	903
286	2279	897
287	2292	891
288	2302	884
289	2318	879
290	2332	873
291	2344	867
292	2356	860
293	2366	853
294	2381	847
295	2394	841
296	2408	835
297	2421	828
298	2430	820
299	2441	813
300	2457	808
301	2467	800
302	2478	793
303	2489	786
304	2499	778
305	2511	771
306	2526	765
307	2539	758
308	2550	751
309	2560	743
310	2572	736
311	2583	728
312	2592	720
313	2604	713
314	2616	706
315	2627	698
316	2640	691
317	2652	684
318	2666	676
319	2675	668
320	2687	661
321	2700	654
322	2709	646
323	2722	638
324	2743	633
325	2754	625
326	2766	617
327	2775	609
328	2787	601
329	2802	594
330	2814	586
331	2823	578
332	2838	571
333	2850	563
334	2863	555
335	2872	547
336	2887	539
337	2901	532
338	2912	524
339	2925	516
340	2937	508
341	2949	500
342	2967	493
343	2978	484
344	2990	476
345	2999	468
346	3012	460
347	3025	452
348	3035	443
349	3050	435
350	3062	427
351	3075	419
352	3089	411
353	3098	402
354	3111	394
355	3122	385
356	3131	377
357	3144	368
358	3156	360
359	3168	352
360	3179	343
361	3195	335
362	3208	327
363	3220	318
364	3229	309
365	3241	301
366	3254	292
367	3267	284
368	3276	275
369	3288	266
370	3297	257
371	3308	249
372	3320	240
373	3329	231
374	3341	222
375	3356	214
376	3368	205
377	3377	196
378	3389	187
379	3402	179
380	3413	170
381	3423	161
382	3435	152
383	3447	143
384	3458	134
385	3470	125
386	3484	117
387	3495	108
388	3504	99
389	3516	90
390	3527	81
391	3537	72
392	3553	63
393	3569	54
394	3585	45
395	3601	36
396	3612	27
397	3621	18
398	3634	9
399	3646	0
